Type,MatchValue,DebitAcc,CreditAcc,Direction,MemoTemplate,UseVendor
Name,Utilities Services - LADWP,Due to/from Moo Housing Inc:3430:Rent receivable,Utilities:LADWP:3430,DR,3430 LADWP {current_month},No
Name,Utilities Services - Gas,Due to/from Moo Housing Inc:3430:Rent receivable,Utilities:Socal Gas:3430,DR,3430 Socal Gas {current_month},No
Name,Utilities Services - Trash,Due to/from Moo Housing Inc:3430:Rent receivable,Utilities:Trash:3430,DR,3430 Trash {current_month},No
Name,Utilities Services - Internet,Due to/from Moo Housing Inc:3430:Rent receivable,Utilities:Spectrum:3430,DR,3430 Internet {current_month},No
Name,Utilities Services - Cleaning,Due to/from Moo Housing Inc:3430:Rent receivable,Cleaning:3430,DR,3430 Cleaning {current_month},No
Name,Repair,Due to/from Moo Housing Inc:3430:Rent receivable,Repairs and Maintenance:3430,DR,Maintenance {current_month},No
Name,Move Out Cleaning Fee,Due to/from Moo Housing Inc:3430:Rent receivable,Cleaning:3430,DR,3430 Cleaning {current_month},No
Name,Move Out Maintenance Fee,Due to/from Moo Housing Inc:3430:Rent receivable,Repairs and Maintenance:3430,DR,3430 Maintenance {current_month},No
Name,Rent Income,Due to/from Moo Housing Inc:3430:Rent receivable,Operating Rent Income:3430,DR,3430 Rent {current_month},No
Name,Parking Income,Due to/from Moo Housing Inc:3430:Rent receivable,Operating Rent Income:3430,DR,3430 Parking Rent {current_month},No
Name,Concessions,Due to/from Moo Housing Inc:3430:Rent receivable,Operating Rent Income:3430,DR,3430 Concessions {current_month},No
Name,Advertising,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Advertising and Promotion:3430,CR,3430 Advertising {current_month},No
Name,Accounting,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Professional Fees:Accounting:3430,CR,3430 Accounting {current_month},No
Name,Property Insurance,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Insurance Expense,CR,3430 Property Insurance,No
Name,Management Fees,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Professional Fees:property management fee:3430,CR,3430 Management Fee {current_month},No
Name,Commissions/Placement Fees,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Commission Paid:3430,CR,3430 Commission Fee {current_month},No
Name,LADWP,Due to/from Moo Housing Inc:3430:Utilities:LADWP,Utilities:LADWP:3430,CR,3430 LADWP {current_month},No
Name,Gas,Due to/from Moo Housing Inc:3430:Utilities:Socal Gas,Utilities:Socal Gas:3430,CR,3430 Gas {current_month},No
Name,Internet,Due to/from Moo Housing Inc:3430:Utilities:Spectrum,Utilities:Spectrum:3430,CR,3430 Spectrum {current_month},No
Name,Republic Service,Due to/from Moo Housing Inc:3430:Utilities:Republic Service,Utilities:Trash:3430,CR,Republic Service {current_month},No
Keyword,6147,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Repairs and Maintenance:3430,CR,,Yes
Keyword,6074,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Cleaning:3430,CR,,Yes
Keyword,7050,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Furniture and Equipment:3430,CR,,Yes
Keyword,6076,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Cleaning:3430,CR,,Yes
Keyword,7010,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Furniture and Equipment:3430,CR,,Yes
Keyword,6101,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Professional Fees,CR,,Yes
Keyword,6073,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Repairs and Maintenance:3430,CR,,Yes
Keyword,6177,Due to/from Moo Housing Inc:3430:Utilities:Republic Service,Utilities:Trash:3430,CR,,Yes
Keyword,6150,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Repairs and Maintenance:3430,CR,,Yes
Keyword,6145,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Repairs and Maintenance:3430,CR,,Yes
Keyword,6077,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Repairs and Maintenance:3430,CR,,Yes
Keyword,6142,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Repairs and Maintenance:3430,CR,,Yes
Keyword,6101,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Repairs and Maintenance:3430,CR,,Yes
Keyword,6191,Due to/from Moo Housing Inc:3430:MH Prepaid and distribution,Repairs and Maintenance:3430,CR,,Yes

