Type,MatchValue,DebitAcc,CreditAcc,Direction,MemoTemplate,UseVendor
Name,Utilities Services - LADWP,Due to/from Moo Housing Inc:1340:Rent receivable,Utilities:LADWP:1340,DR,1340 LADWP {current_month},No
Name,Utilities Services - Gas,Due to/from Moo Housing Inc:1340:Rent receivable,Utilities:Socal Gas:1340,DR,1340 Socal Gas {current_month},No
Name,Utilities Services - Trash,Due to/from Moo Housing Inc:1340:Rent receivable,Utilities:Trash:1340,DR,1340 Trash {current_month},No
Name,Utilities Services - Internet,Due to/from Moo Housing Inc:1340:Rent receivable,Utilities:Spectrum:1340,DR,1340 Internet {current_month},No
Name,Utilities Services - Cleaning,Due to/from Moo Housing Inc:1340:Rent receivable,Cleaning:1340,DR,1340 Cleaning {current_month},No
Name,Move Out Cleaning Fee,Due to/from Moo Housing Inc:1340:Rent receivable,Cleaning:1340,DR,1340 Cleaning {current_month},No
Name,Move Out Maintenance Fee,Due to/from Moo Housing Inc:1340:Rent receivable,Repairs and Maintenance:1340,DR,1340 Maintenance {current_month},No
Name,Rent Income,Due to/from Moo Housing Inc:1340:Rent receivable,Operating Rent Income:1340,DR,1340 Rent {current_month},No
Name,Parking Income,Due to/from Moo Housing Inc:1340:Rent receivable,Operating Rent Income:1340,DR,1340 Parking Rent {current_month},No
Name,Concessions,Due to/from Moo Housing Inc:1340:Rent receivable,Operating Rent Income:1340,DR,1340 Concessions {current_month},No
Name,Advertising,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Advertising and Promotion:1340,CR,1340 Advertising {current_month},No
Name,Accounting,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Professional Fees:Accounting:1340,CR,1340 Accounting {current_month},No
Name,Property Insurance,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Insurance Expense,CR,1340 Property Insurance,No
Name,Management Fees,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Professional Fees:property management fee:1340,CR,1340 Management Fee {current_month},No
Name,Commissions/Placement Fees,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Commissions Paid:1340,CR,1340 Commission Fee {current_month},No
Name,LADWP,Due to/from Moo Housing Inc:1340:Utilities:LADWP,Utilities:LADWP:1340,CR,1340 LADWP {current_month},No
Name,Gas,Due to/from Moo Housing Inc:1340:Utilities:Socal Gas,Utilities:Socal Gas:1340,CR,1340 Gas {current_month},No
Name,Internet,Due to/from Moo Housing Inc:1340:Utilities:Spectrum,Utilities:Spectrum:1340,CR,1340 Spectrum {current_month},No
Keyword,6147,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Repairs and Maintenance:1340,CR,,Yes
Keyword,6074,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Cleaning:1340,CR,,Yes
Keyword,7050,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Furniture and Equipment:1340,CR,,Yes
Keyword,6076,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Cleaning:1340,CR,,Yes
Keyword,7010,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Furniture and Equipment:1340,CR,,Yes
Keyword,6101,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Professional Fees,CR,,Yes
Keyword,6073,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Repairs and Maintenance:1340,CR,,Yes
Keyword,6177,Due to/from Moo Housing Inc:1340:Utilities:Republic Service,Utilities:Trash:1340,CR,,Yes
Keyword,6150,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Repairs and Maintenance:1340,CR,,Yes
Keyword,6145,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Repairs and Maintenance:1340,CR,,Yes
Keyword,6077,Due to/from Moo Housing Inc:1340:MH Prepaid and distribution,Repairs and Maintenance:1340,CR,,Yes
